Input dim,Hidden dim,Layers,Epochs
25,32,1,1.0244874715261958
25,32,1,1.0523917995444192
25,32,1,1.0
25,32,1,1.2733485193621867
25,32,1,1.2556947608200455
25,32,2,1.0
25,32,2,1.3637747336377473
25,32,2,1.0205479452054795
25,32,2,1.1240487062404871
25,32,2,1.0228310502283104
25,32,3,1.0
25,32,3,1.0176151761517616
25,32,3,1.037940379403794
25,32,3,1.084688346883469
25,32,3,1.2486449864498645
25,32,4,1.0031695721077654
25,32,4,1.2044374009508716
25,32,4,1.176703645007924
25,32,4,1.0729001584786053
25,32,4,1.0
25,32,5,1.0
25,32,5,1.161705551086082
25,32,5,1.0539018503620274
25,32,5,1.3837489943684633
25,32,5,1.178600160901046
25,32,6,1.0
25,32,6,1.2203082502266547
25,32,6,1.4632819582955576
25,32,6,1.316409791477788
25,32,6,1.485947416137806
25,32,7,1.0442238267148014
25,32,7,1.0938628158844765
25,32,7,1.2752707581227436
25,32,7,1.2870036101083033
25,32,7,1.0
25,32,8,1.0
25,32,8,1.3188277087033748
25,32,8,1.3161634103019537
25,32,8,1.0905861456483126
25,32,8,1.6616341030195383
25,32,9,1.0
25,32,9,1.0365752285951788
25,32,9,1.1953449709060682
25,32,9,1.0706566916043225
25,32,9,1.285120532003325
25,32,10,1.0263374485596708
25,32,10,1.013991769547325
25,32,10,1.137448559670782
25,32,10,1.4024691358024692
25,32,10,1.0
60,32,1,1.0522167487684728
60,32,1,1.1556650246305418
60,32,1,1.0
60,32,1,1.0433497536945813
60,32,1,1.005911330049261
60,32,2,1.2663204747774481
60,32,2,1.4050445103857567
60,32,2,1.275593471810089
60,32,2,1.1376112759643917
60,32,2,1.0
60,32,3,1.971517348524081
60,32,3,2.750906266183325
60,32,3,1.0
60,32,3,2.9093733816675296
60,32,3,2.74883480062144
60,32,4,2.393496529046401
60,32,4,1.515893313847278
60,32,4,1.2203142126415785
60,32,4,1.4961636828644502
60,32,4,1.0
60,32,5,1.0
60,32,5,1.3398144056562085
60,32,5,1.587273530711445
60,32,5,1.0278391515687142
60,32,5,1.0883782589482986
60,32,6,1.6697832554186145
60,32,6,2.824904377390565
60,32,6,1.60135996600085
60,32,6,2.1640458988525286
60,32,6,1.0
60,32,7,1.557902973395931
60,32,7,1.56377151799687
60,32,7,1.2187010954616588
60,32,7,1.0
60,32,7,1.4381846635367763
60,32,8,1.043899066712755
60,32,8,1.6170065675769099
60,32,8,1.0
60,32,8,1.1755962668510198
60,32,8,1.355686138956101
60,32,9,1.2859801488833746
60,32,9,1.0
60,32,9,1.1367866004962779
60,32,9,1.1603598014888337
60,32,9,1.0865384615384615
60,32,10,1.0
60,32,10,1.2550098231827111
60,32,10,1.5988212180746562
60,32,10,1.1713163064833005
60,32,10,1.4043222003929272
100,32,1,1.4181476665221788
100,32,1,1.0
100,32,1,1.2914318740066464
100,32,1,1.29345470307759
100,32,1,1.286663776910851
100,32,2,1.460548523206751
100,32,2,1.0335443037974683
100,32,2,1.1928270042194093
100,32,2,1.4042194092827005
100,32,2,1.0
100,32,3,1.354538279400158
100,32,3,1.0
100,32,3,1.2048934490923442
100,32,3,1.4050513022888713
100,32,3,1.5357537490134174
100,32,4,1.0
100,32,4,1.84346035015448
100,32,4,1.6168898043254376
100,32,4,1.2167868177136971
100,32,4,1.8076725025746654
100,32,5,1.147671464860288
100,32,5,1.2130397967823878
100,32,5,1.0740050804403047
100,32,5,1.0
100,32,5,1.0421676545300593
100,32,6,2.847160429207014
100,32,6,1.3574980371630463
100,32,6,1.0
100,32,6,1.561894791939283
100,32,6,2.5634650615022245
100,32,7,1.0
100,32,7,1.2458944602583752
100,32,7,1.3538427851981607
100,32,7,1.3369827019925553
100,32,7,1.4987957083424568
100,32,8,1.0
100,32,8,1.4648489708634056
100,32,8,1.1398021919272923
100,32,8,1.6744186046511629
100,32,8,2.0200481154771452
100,32,9,1.022250827510114
100,32,9,1.106105185730048
100,32,9,1.0
100,32,9,1.0215152629643252
100,32,9,1.136631114380287
100,32,10,1.1743145743145744
100,32,10,1.0509379509379508
100,32,10,1.1349206349206349
100,32,10,1.1544011544011543
100,32,10,1.0
