Input dimension,Number of Layers,Factor q,Meant Complexity,Actual Complexity,First Layer,Layers
100,2,0.75,40000000,39998799,7236,"7236,5427"
200,2,0.75,100000000,99995200,11414,"11414,8560"
300,2,0.75,200000000,200004236,16131,"16131,12098"
400,2,0.75,300000000,300006536,19735,"19735,14801"
500,2,0.75,400000000,400008508,22763,"22763,17072"
600,2,0.75,480000000,480010352,24901,"24901,18676"
700,2,0.75,520000000,519992069,25868,"25868,19401"
800,2,0.75,550000000,550018042,26552,"26552,19914"
900,2,0.75,580000000,579999276,27215,"27215,20411"
1000,2,0.75,600000000,600008094,27625,"27625,20719"
